EfficientKAN_32,EfficientKAN_16,MLP_256,MLP_512,MLP_512_256,FasterKAN_32,FasterKAN_128_128,FasterKAN_128_64,FasterKAN_64_64,MLP_256_256,MLP_256_128
2,2,13,17,1121,31,1276,24,21,58,20
144,2,20,4,1328,29,482,3,41,484,11
83,1,5,12,259,15,310,54,2,218,5
76,5,2,11,833,6,283,6,2,235,41
1,2,9,0,740,32,136,87,29,16,8
291,8,5,13,584,8,10,2,85,77,13
68,5,8,5,166,7,76,15,94,17,184
7,2,1,7,571,5,115,0,19,259,56
3,4,14,23,101,17,1099,0,20,28,68
73,1,9,37,428,8,151,0,1,283,67
50,14,10,0,8,14,487,84,2,20,86
64,5,3,0,2021,5,259,33,28,368,11
129,1,6,13,602,10,235,0,118,110,1
88,8,1,17,757,101,10,0,164,214,43
146,1,11,16,1397,12,28,0,32,241,35
52,9,15,8,43,5,97,0,43,98,89
352,5,1,1,917,2,43,30,61,82,2
14,8,2,5,461,5,25,36,3,56,154
154,4,4,8,377,13,16,28,5,20,77
86,1,8,26,239,14,372,0,5,53,50
109,13,3,2,133,8,490,27,28,149,269
63,5,4,13,680,7,97,0,2,179,146
48,8,5,13,794,7,55,61,57,257,41
181,2,2,29,2594,8,475,21,11,193,23
41,2,5,2,266,5,402,2,30,58,32
55,1,1,47,656,105,208,0,134,34,26
1,4,3,2,596,60,340,19,57,152,34
114,4,12,2,1121,23,430,0,1,19,7
34,1,3,17,83,8,25,0,14,38,89
133,8,7,8,107,7,31,0,31,37,8
75,1,6,17,86,83,64,7,14,53,52
38,6,11,14,626,2,163,0,74,523,50
68,7,2,23,712,9,50,3,119,31,188
35,11,2,1,398,35,268,0,41,181,245
43,3,3,2,179,1,622,19,5,77,35
152,2,2,4,506,50,169,0,17,55,4
40,2,1,5,890,9,94,0,1,166,173
242,6,10,28,1099,29,400,20,278,310,8
94,2,3,22,1318,37,640,18,77,70,43
5,1,1,0,308,23,142,35,5,427,1
104,1,12,5,77,17,61,0,40,29,253
61,1,4,16,308,47,265,0,10,305,95
425,4,17,44,1580,26,820,3,8,7,5
41,7,1,44,614,65,151,36,69,206,38
285,1,1,4,1217,8,274,16,1,146,158
35,6,5,10,404,46,400,30,2,47,11
4,22,1,4,35,15,7,42,57,122,1
2,9,3,1,2369,10,4,0,58,8,173
128,2,8,4,956,18,335,5,22,166,1
19,5,8,17,323,44,91,27,35,391,74
2,5,10,19,668,8,289,79,11,65,1
32,5,8,1,278,14,322,15,5,98,35
174,1,19,28,836,8,151,0,1,148,59
199,1,3,1,1061,50,903,11,180,92,11
2,1,2,20,133,12,229,9,11,134,35
16,4,1,2,1357,10,226,0,7,13,242
119,5,2,17,430,49,382,0,34,8,77
169,3,16,1,577,17,103,0,17,217,17
14,3,2,4,506,24,22,18,89,269,23
326,1,1,27,623,18,184,30,44,239,50
12,1,5,2,545,20,235,0,6,161,52
353,6,7,20,256,11,84,0,23,284,5
76,3,18,8,41,5,55,0,35,52,59
41,8,9,20,374,26,64,3,32,164,1
18,4,19,5,293,7,103,44,1,74,1
346,1,5,8,671,11,232,26,126,67,1
10,2,3,5,65,7,89,10,8,70,1
163,8,8,14,767,47,40,3,7,140,37
16,7,7,13,2111,35,124,80,25,13,113
137,5,14,22,2498,18,31,27,150,175,68
95,1,1,23,971,8,106,5,34,11,35
1,7,4,4,590,10,16,17,8,278,1
170,16,11,13,521,16,256,0,17,281,5
241,7,5,4,98,17,112,6,58,179,596
230,2,7,16,5819,34,292,9,15,55,145
4,4,15,1,281,8,37,0,125,125,32
26,7,12,17,101,47,172,30,92,46,112
70,2,1,5,61,8,202,0,32,215,155
1,1,8,11,665,20,22,5,32,148,127
28,2,7,13,1232,8,292,0,47,8,4
206,1,14,26,2522,11,103,0,65,22,101
161,7,18,8,671,32,439,4,23,62,35
134,1,5,26,316,8,58,0,61,299,26
31,2,2,13,497,18,133,0,14,85,1
60,17,8,2,1883,5,250,0,143,314,74
4,4,1,8,2936,8,4,0,18,76,221
57,1,3,59,512,23,304,24,5,25,212
123,10,25,4,797,17,118,0,89,400,89
187,10,1,5,389,127,289,28,11,431,29
10,4,3,7,713,5,604,39,15,2,2
36,4,5,10,2999,5,532,7,13,10,29
11,1,6,9,218,5,553,26,109,22,4
82,7,7,13,1490,28,52,38,28,176,86
186,7,8,8,515,65,393,39,24,206,20
1,2,16,5,944,13,208,2,45,56,22
187,3,11,7,1181,19,37,0,14,40,82
32,4,2,31,224,74,47,6,65,83,17
112,2,2,4,541,29,730,58,11,44,68
62,16,2,10,767,35,55,38,5,122,148
265,2,8,1,1375,28,331,2,20,20,205
149,2,6,20,323,2,354,92,121,166,38
128,10,2,19,451,6,889,0,54,2,125
39,2,1,1,2372,5,417,6,7,88,44
74,10,2,4,59,27,208,0,48,29,11
311,11,1,16,581,5,853,11,16,56,8
70,2,5,14,923,56,889,18,188,41,23
48,7,2,20,653,45,277,42,70,82,64
82,4,1,37,968,5,70,7,8,506,1
498,6,4,7,433,26,40,0,22,53,68
62,8,8,2,26,7,250,50,23,169,56
5,4,14,1,1070,2,565,0,32,2,134
1,3,1,2,569,10,76,17,5,40,56
20,2,2,20,380,25,10,0,11,23,131
14,17,1,20,5,27,931,11,14,137,80
23,4,8,1,194,17,46,0,9,11,4
41,1,2,1,2198,16,16,21,91,89,38
53,1,5,7,695,43,58,46,62,112,38
1,4,1,11,503,8,157,0,82,5,32
20,11,1,26,3007,17,454,18,2,79,104
20,1,5,14,1565,17,721,5,41,421,2
38,10,2,5,37,26,247,2,182,29,4
1,3,4,11,3136,25,67,0,54,200,32
27,5,2,4,392,8,238,0,26,65,38
64,3,11,4,278,5,847,0,18,37,77
161,2,17,5,1013,41,475,14,23,11,8
29,11,5,29,296,53,199,44,38,133,2
1,5,5,1,836,23,1534,9,14,226,22
46,7,14,2,77,6,64,0,8,53,23
2,7,7,20,1169,7,463,29,53,133,10
64,4,5,0,142,3,644,0,38,422,12
157,1,7,5,5,13,34,12,11,76,1
2,2,2,8,3182,72,10,3,23,124,10
190,2,4,1,356,8,220,30,2,53,2
27,10,25,0,893,8,145,32,74,74,8
29,1,16,5,140,62,61,60,1,2,38
68,4,7,17,263,14,94,60,27,176,8
53,2,3,13,2120,9,19,45,43,28,113
22,1,2,0,586,63,82,15,80,182,158
100,4,10,8,914,20,418,27,5,97,218
98,5,5,20,1073,29,226,5,1,83,46
75,7,8,23,2737,17,523,6,1,11,32
211,6,4,13,2987,8,148,25,36,259,11
198,4,4,10,29,11,94,0,29,419,253
119,1,7,19,407,2,139,33,71,293,229
1,3,1,5,2339,14,22,33,41,379,56
13,2,2,8,803,2,85,33,71,26,5
20,14,3,37,28,13,40,36,16,163,77
75,2,19,1,310,20,631,27,71,7,155
143,4,1,25,938,13,714,5,95,11,59
89,8,5,1,926,14,148,0,13,194,79
253,3,8,4,89,23,853,30,120,127,52
16,2,4,2,1388,11,286,29,24,26,32
266,11,2,5,1112,11,65,0,8,88,4
10,11,4,7,248,20,979,11,65,76,37
35,1,6,5,4439,6,166,0,1,346,22
62,4,1,7,368,3,121,0,17,8,113
95,3,2,37,674,33,283,3,12,41,52
175,8,1,7,53,1,634,19,31,145,89
139,2,5,3,704,29,199,0,8,7,68
91,2,1,23,281,18,313,145,22,194,2
439,14,1,22,133,6,256,35,27,20,20
54,7,5,13,356,32,109,22,29,274,40
85,11,5,9,35,25,70,0,21,40,1
189,5,7,22,116,29,772,11,11,32,1
107,7,2,56,44,5,2,12,49,218,2
80,6,6,25,704,20,220,5,14,92,1
56,1,3,7,206,13,100,11,13,167,41
421,11,2,1,5750,31,43,33,26,13,74
7,2,2,43,1277,35,46,88,41,109,62
189,7,13,20,164,50,136,0,47,32,68
8,4,1,20,1553,3,289,0,56,85,2
2,5,5,5,541,14,21,8,62,7,20
337,3,3,5,923,6,187,52,67,68,77
56,20,8,8,271,5,373,8,14,118,26
16,1,8,1,122,17,412,16,136,47,17
32,8,1,14,260,9,163,15,89,175,86
424,2,5,1,2603,44,348,3,56,235,146
45,4,2,1,133,14,961,16,79,80,44
19,1,8,7,20,8,91,8,3,121,47
25,4,9,0,347,42,136,0,95,4,77
1,13,3,1,2509,26,640,25,25,67,79
145,4,17,25,2012,26,367,41,1,172,101
43,2,2,11,3755,11,103,0,19,292,5
72,5,6,20,155,29,139,23,5,131,1
19,4,7,14,1321,2,82,17,95,152,119
55,4,4,2,89,11,316,0,7,113,41
77,4,2,0,674,17,166,10,100,151,44
103,1,3,14,326,10,289,0,23,146,14
28,2,2,5,659,32,559,29,14,89,98
135,1,2,0,2282,42,700,0,67,78,61
321,2,4,4,608,8,994,54,28,17,109
125,7,2,0,1778,26,16,9,156,4,71
130,2,10,8,920,20,844,15,62,59,53
33,13,22,5,775,56,109,0,69,116,47
4,14,14,5,965,5,589,29,14,274,2
53,11,7,5,911,8,892,27,49,61,77
95,10,4,5,167,15,355,33,47,155,31
86,13,13,11,4361,2,589,2,2,19,1
1,4,2,2,749,47,505,2,61,212,44
158,1,18,2,1931,21,412,2,18,302,41
38,20,5,5,770,26,191,14,44,344,8
1,1,13,20,2414,56,214,1,59,158,38
136,10,2,23,1000,12,523,10,11,86,128
1,1,8,0,1004,5,241,0,188,107,151
11,36,2,3,623,13,157,0,58,305,47
1,14,3,2,2450,7,157,0,103,74,281
17,5,8,10,1991,11,424,21,2,29,44
109,10,8,5,374,34,499,0,14,67,110
50,1,2,0,56,8,148,0,22,37,200
18,4,3,2,3656,16,508,67,11,37,17
38,4,8,28,389,58,862,2,1,601,25
1,5,1,2,620,23,190,29,60,35,62
61,2,11,2,1646,89,382,68,36,377,1
50,3,7,7,506,41,73,77,53,62,23
29,2,4,17,407,8,64,0,40,133,38
1,1,2,16,41,8,37,0,1,274,23
14,2,1,0,731,17,241,3,45,77,4
89,7,2,5,494,2,142,0,4,338,35
45,13,5,25,518,29,474,14,35,77,31
